question-id,item,grammartical_item,construct,encoding
A1,i know how to comfort others,i know how to comfort others,A,1
A2,i enjoy bringing people together,i enjoy bringing people together,A,1
A3,i feel others' emotions,i feel others' emotions,A,1
A4,i take an interest in other people's lives,i take an interest in other people's lives,A,1
A5,i cheer people up,i cheer people up,A,1
A6,i make people feel at ease,i make people feel at ease,A,1
A7,i take time out for others,i take time out for others,A,1
A8,i don't like to get involved in other people's problems,i don't like to get involved in other people's problems,A,-1
A9,i am not really interested in others,i am not really interested in others,A,-1
A10,i try not to think about the needy,i try not to think about the needy,A,-1
B1,i make insightful remarks,i make insightful remarks,B,1
B2,i know the answers to many questions,i know the answers to many questions,B,1
B3,i tend to analyze things,i tend to analyze things,B,1
B4,i use my brain,i use my brain,B,1
B5,i learn quickly,i learn quickly,B,1
B6,i counter others' arguments,i counter others' arguments,B,1
B7,i reflect on things before acting,i reflect on things before acting,B,1
B8,i weigh the pros against the cons,i weigh the pros against the cons,B,1
B9,i consider myself an average person,i consider myself an average person,B,-1
B10,i get confused easily,i get confused easily,B,-1
B11,i know that i am not a special person,i know that i am not a special person,B,-1
B12,i have a poor vocabulary,i have a poor vocabulary,B,-1
B13,i skip difficult words while reading,i skip difficult words while reading,B,-1
C1,i seldom feel blue,i seldom feel blue,C,1
C2,i feel comfortable with myself,i feel comfortable with myself,C,1
C3,i readily overcome setbacks,i readily overcome setbacks,C,1
C4,i am relaxed most of the time,i am relaxed most of the time,C,1
C5,i am not easily frustrated,i am not easily frustrated,C,1
C6,i have frequent mood swings,i have frequent mood swings,C,-1
C7,i often feel blue,i often feel blue,C,-1
C8,i dislike myself,i dislike myself,C,-1
C9,i feel desperate,i feel desperate,C,-1
C10,i am easily discouraged,i am easily discouraged,C,-1
D1,i take charge,i take charge,E,1
D2,i want to be in charge,i want to be in charge,E,1
D3,i say what i think,i say what i think,E,1
D4,i am not afraid of providing criticism,i am not afraid of providing criticism,E,1
D5,i take control of things,i take control of things,E,1
D6,i can take strong measures,i can take strong measures,E,1
D7,i wait for others to lead the way,i wait for others to lead the way,E,-1
D8,i never challenge things,i never challenge things,E,-1
D9,i let others make the decisions,i let others make the decisions,E,-1
D10,i let myself be pushed around,i let myself be pushed around,E,-1
E1,i am the life of the party,i am the life of the party,F,1
E2,i love large parties,i love large parties,F,1
E3,i joke around a lot,i joke around a lot,F,1
E4,i enjoy being part of a loud crowd,i enjoy being part of a loud crowd,F,1
E5,i amuse my friends,i amuse my friends,F,1
E6,i act wild and crazy,i act wild and crazy,F,1
E7,i seldom joke around,i seldom joke around,F,-1
E8,i don't like crowded events,i don't like crowded events,F,-1
E9,i am the last to laugh at a joke,i am the last to laugh at a joke,F,-1
E10,i dislike loud music,i dislike loud music,F,-1
F1,i believe laws should be strictly enforced,i believe laws should be strictly enforced,G,1
F2,i try to follow the rules,i try to follow the rules,G,1
F3,i believe in one true religion,i believe in one true religion,G,1
F4,i respect authority,i respect authority,G,1
F5,i like to stand during the national anthem,i like to stand during the national anthem,G,1
F6,i resist authority,i resist authority,G,-1
F7,i break rules,i break rules,G,-1
F8,i use swear words,i use swear words,G,-1
F9,i oppose authority,i oppose authority,G,-1
F10,i know how to get around the rules,i know how to get around the rules,G,-1
G1,i feel comfortable around people,i feel comfortable around people,H,1
