question-id,item,11704529,11832993,12051197,12096451,12884114,13172251,13481277,13708516,13877181,14346744,14581944,14861577,14901661,15437223,16005608,16065205,16360931,17984362,18301517,18721330,19885268,20268752,20926436,20964686,20993357,21644944,22594368,23869798,25588465,25610219,25704621,26861142,27027965,27424412,27672631,28002598,28027215,28027665,29686334,30534728,30580769,32675055,32814159,33128769,33947385,34587932,35036129,35276298,35408158,35840889,35990958,36028730,36613071,36774143,36848986,36877655,37453830,37589515,37855739,38214475,38583016,39945838,41750262,42204687,42572303,42582231,44604459,44893702,44958215,45251686,45498622,45554549,46500176,48270379,48601322,48719603,49124709,50438454,50474438,50480762,51385330,51754528,51806946,51986057,52025598,52039677,52304051,52667137,52761468,53836209,53877378,54302832,54473774,55722363,56182781,57628572,57807795,58072711,59184036,59535040,60022523,60443916,61190652,61458452,63121187,63859912,65794572,65926113,66294238,67486504,68355869,68913140,69245463,69838226,70392960,70419256,71481454,71560096,71829834,72343080,72924156,72954110,73100484,73237757,73339886,73428842,73766220,73819960,74125696,75246443,75399329,75474158,75535705,76155417,78064522,78269640,78334045,78389380,78408269,78775694,79839120,79922304,80214417,81133933,81936832,82223014,82736798,83259588,85088263,86690545,86726284,87142373,87695597,87904275,87952366,87977046,88151118,88157211,88363922,88929017,89578790
q1,i abuse peoples confidences,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,,,2,,,,,,,2,,1,1,,,,,2,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,1,,,,,,,,2,,4,,,,,1,2,2,,,,,,,,,
q2,i accept apologies easily,,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,2,2,,,,,4,,,,,4,,,,,,,5,,,,,,4,,,4,,,,,,,,5,,,4,4,,,,,,,,,,2,4,,,,,,,,,2,,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,5,,,,,,4,3,,,,,,,,4,,,4,,
q3,i accept challenging tasks,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,4,,,,,,4,,,,,,4,,,,,,,4,,,,4,,,,,,,,,,3,,,,,,,4,,,,,,,3,4,5,,,,,,,,,,,,2,4,,,4,5,,,1,,3,,,4,,,,,,,,,,,,,,,,,
q4,i accept little from others,,,1,,,,,,,,2,4,,,,,,,,3,,3,2,,,,,,,,,,,,,2,5,,2,,,1,,,4,,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,3,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,1,,,,,,2,,,4,,,,,,,,,,,,2,,,,2,,,,,4,,,,,,,
q5,i accept others weaknesses,,,,,,,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,,,4,4,,2,5,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,4,,,,,,,,,3,,4,4,,,,,,,,,,,,4,4,,,,3,,,,,,,4,,5,5,,,,,,,,4,4,,4,,,,,4,4,,,,,,,,,,,,,,,,,,,
q6,i accept people as they are,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,3,,,,,,3,,,,,,4,,,,,,,5,,,,4,,,,,,,,,,3,,,,,,,4,,,,,,,4,3,4,,,,,,,,,,,,3,4,,,5,4,,,4,,2,,,5,,,,,,,,,,,,,,,,,
q7,i accept the consequences of my actions,,,4,,,,,,,,4,3,,,,,,,,4,,4,4,,,,,,,,,,,,,4,5,,5,,,5,,,5,,,,,4,,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,5,,,,,,4,,,4,,,,,,,,,,,,2,,,,2,,,,,4,,,,,,,
q8,i accept the first thing that comes along,,,2,,,,,,,,1,2,,,,,,,,3,,3,2,,,,,,,,,,,,,2,1,,1,,,1,,,4,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,4,,,,,,2,,,2,,,,,,,,,,,,2,,,,4,,,,,3,,,,,,,
q9,i accept what others say,,,,,,,,,,,,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,,3,2,,,,,4,,,,,4,,,,,,,3,,,,,,2,,,4,,,,,,,,4,,,3,3,,,,,,,,,,3,2,,,,,,,,,2,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,2,,,,,,4,2,,,,,,,,2,,,4,,
