question-id,item,grammartical_item,construct,encoding
q1,abuse peoples confidences,i abuse peoples confidences,not assigned,
q2,accept apologies easily,i accept apologies easily,forgiveness/mercy,1.0
q3,accept challenging tasks,i accept challenging tasks,competence,1.0
q4,accept little from others,i accept little from others,not assigned,
q5,accept others weaknesses,i accept others weaknesses,compassion,1.0
q6,accept people as they are,i accept people as they are,gentleness,1.0
q7,accept the consequences of my actions,i accept the consequences of my actions,not assigned,
q8,accept the first thing that comes along,i accept the first thing that comes along,not assigned,
q9,accept what others say,i accept what others say,not assigned,
q10,accomplish a lot of work,i accomplish a lot of work,industriousness/perseverance/persistence,1.0
q11,accomplish my work on time,i accomplish my work on time,conscientiousness,1.0
q12,acknowledge others accomplishments,i acknowledge others accomplishments,tolerance,1.0
q13,acquire skills quickly,i acquire skills quickly,not assigned,
q14,act according to my conscience,i act according to my conscience,morality,1.0
q15,act according to my own feelings,i act according to my own feelings,not assigned,
q16,act as a leader,i act as a leader,not assigned,
q17,act as i please,i act as i please,not assigned,
q18,act as if i am constantly on stage,i act as if i am constantly on stage,not assigned,
q19,act as if i am somebody else and completely identify myself with the part,i act as if i am somebody else and completely identify myself with the part,not assigned,
q20,act as if some laws do not apply to me,i act as if some laws do not apply to me,not assigned,
q21,act at the expense of others,i act at the expense of others,sensitivity,-1.0
q22,act before thinking through the consequences,i act before thinking through the consequences,prudence,-1.0
q23,act comfortably with others,i act comfortably with others,distrust,-1.0
q24,act contrary to reason,i act contrary to reason,not assigned,
q25,act impulsively when something is bothering me,i act impulsively when something is bothering me,prudence,-1.0
q26,act in a play,i act in a play,creativity/originality,1.0
q27,act like different people in different situations,i act like different people in different situations,sincerity,-1.0
q28,act like people older than me,i act like people older than me,not assigned,
q29,act like people younger than me,i act like people younger than me,not assigned,
q30,act or feel in a way that does not fit me,i act or feel in a way that does not fit me,not assigned,
q31,act out my frustrations on others,i act out my frustrations on others,not assigned,
q32,act properly in most situations,i act properly in most situations,not assigned,
q33,act quickly without thinking,i act quickly without thinking,calmness,-1.0
q34,act spontaneously without thinking about the consequences,i act spontaneously without thinking about the consequences,not assigned,
q35,act wild and crazy,i act wild and crazy,humor/playfulness,1.0
q36,act with hesitation,i act with hesitation,not assigned,
q37,act without consulting others,i act without consulting others,self-sufficiency,1.0
q38,act without planning,i act without planning,non-planfulness,1.0
q39,act without thinking,i act without thinking,cautiousness,-1.0
q40,act without ulterior motives,i act without ulterior motives,not assigned,
q41,acted in a play,i acted in a play,creativity/originality,1.0
q42,actually get cold when i think of something cold,i actually get cold when i think of something cold,not assigned,
q43,adapt easily to new situations,i adapt easily to new situations,anxiety,-1.0
q44,adjust easily,i adjust easily,flexibility,1.0
q45,admire a really clever scam,i admire a really clever scam,equity/fairness,-1.0
q46,admire people who own expensive homes cars or clothes,i admire people who own expensive homes cars or clothes,not assigned,
q47,admit mistakes,i admit mistakes,not assigned,
q48,admit when i am wrong,i admit when i am wrong,equity/fairness,1.0
q49,agree to anything,i agree to anything,hope/optimism,-1.0
q50,allow others to make a fresh start,i allow others to make a fresh start,forgiveness/mercy,1.0
q51,allow others to walk all over me,i allow others to walk all over me,not assigned,
q52,always admit it when i make a mistake,i always admit it when i make a mistake,unlikely virtues,1.0
q53,always know what i am doing,i always know what i am doing,industriousness/perseverance/persistence,1.0
q54,always know why i do things,i always know why i do things,cognitive-failures,-1.0
q55,always need to know who my partner is with,i always need to know who my partner is with,not assigned,
q56,always seem to be losing things,i always seem to be losing things,not assigned,
q57,am a bad loser,i am a bad loser,adaptability,-1.0
q58,am a bitter person,i am a bitter person,not assigned,
q59,am a brave person,i am a brave person,bravery/courage/valor,1.0
q60,am a bully,i am a bully,not assigned,
q61,am a chronic liar,i am a chronic liar,not assigned,
q62,am a cold-hearted person,i am a cold-hearted person,callousness,1.0
q63,am a corrupt person,i am a corrupt person,not assigned,
q64,am a cranky person,i am a cranky person,not assigned,
q65,am a creature of habit,i am a creature of habit,adventurousness,-1.0
q66,am a domineering person,i am a domineering person,not assigned,
q67,am a firm believer in thinking things through,i am a firm believer in thinking things through,judgment/open-mindedness,1.0
q68,am a flamboyant person,i am a flamboyant person,not assigned,
q69,am a generally obedient person,i am a generally obedient person,not assigned,
q70,am a glass is half empty kind of person,i am a glass is half empty kind of person,not assigned,
q71,am a goal-oriented person,i am a goal-oriented person,industriousness/perseverance/persistence,1.0
q72,am a good judge of character,i am a good judge of character,not assigned,
q73,am a good listener,i am a good listener,equity/fairness,1.0
q74,am a good loser,i am a good loser,not assigned,
q75,am a guilty person,i am a guilty person,not assigned,
q76,am a hard person to read,i am a hard person to read,not assigned,
q77,am a hard worker,i am a hard worker,industriousness/perseverance/persistence,1.0
q78,am a highly disciplined person,i am a highly disciplined person,self-control/self-regulation,1.0
q79,am a jealous person,i am a jealous person,not assigned,
q80,am a large-sized person,i am a large-sized person,not assigned,
q81,am a law-abiding citizen,i am a law-abiding citizen,norm violation,-1.0
q82,am a lonely person,i am a lonely person,not assigned,
q83,am a manipulative person,i am a manipulative person,not assigned,
q84,am a mean-spirited person,i am a mean-spirited person,not assigned,
q85,am a money-grubber,i am a money-grubber,not assigned,
q86,am a naturally good dancer,i am a naturally good dancer,not assigned,
q87,am a neat freak,i am a neat freak,not assigned,
q88,am a negative type of person,i am a negative type of person,not assigned,
q89,am a people person,i am a people person,not assigned,
q90,am a perfectionist,i am a perfectionist,not assigned,
q91,am a person whose moods go up and down easily,i am a person whose moods go up and down easily,hypomanic mood intensity,1.0
q92,am a pessimistic person,i am a pessimistic person,not assigned,
q93,am a physical coward,i am a physical coward,fearfulness,1.0
q94,am a rebel,i am a rebel,not assigned,
q95,am a sadistic person,i am a sadistic person,not assigned,
q96,am a seductive person,i am a seductive person,not assigned,
q97,am a shy person,i am a shy person,not assigned,
q98,am a small-sized person,i am a small-sized person,not assigned,
q99,am a spiritual person,i am a spiritual person,spirituality/religiousness,1.0
q100,am a strange person,i am a strange person,peculiarity,1.0
q101,am a submissive person,i am a submissive person,not assigned,
q102,am a true life-long learner,i am a true life-long learner,love of learning,1.0
q103,am a very good scam artist,i am a very good scam artist,not assigned,
q104,am a very private person,i am a very private person,friendliness,-1.0
q105,am a very reliable person,i am a very reliable person,irresponsibility,-1.0
q106,am a vindictive person,i am a vindictive person,not assigned,
q107,am a workaholic with little time for fun or pleasure,i am a workaholic with little time for fun or pleasure,workaholism,1.0
q108,am able to calm myself down quite quickly when upset,i am able to calm myself down quite quickly when upset,not assigned,
q109,am able to come up with new and different ideas,i am able to come up with new and different ideas,creativity/originality,1.0
q110,am able to control my cravings,i am able to control my cravings,immoderation,-1.0
q111,am able to cooperate with others,i am able to cooperate with others,responsibility,1.0
q112,am able to describe my feelings easily,i am able to describe my feelings easily,emotional detachment,-1.0
q113,am able to disregard rules,i am able to disregard rules,not assigned,
q114,am able to do most things well enough,i am able to do most things well enough,not assigned,
q115,am able to do what i should do even when i feel scared,i am able to do what i should do even when i feel scared,not assigned,
q116,am able to find out things by myself,i am able to find out things by myself,quickness,1.0
q117,am able to fit into any situation,i am able to fit into any situation,social/personal/emotional intelligence,1.0
q118,am able to fix electrical-wiring problems,i am able to fix electrical-wiring problems,not assigned,
q119,am able to get other people to act in a certain way,i am able to get other people to act in a certain way,not assigned,
q120,am able to get over it quickly when someone hurts my feelings,i am able to get over it quickly when someone hurts my feelings,not assigned,
q121,am able to pick myself up when i am down,i am able to pick myself up when i am down,not assigned,
q122,am able to read the minds of others,i am able to read the minds of others,irrational beliefs,1.0
q123,am able to see how other peoples emotions can affect their behaviors,i am able to see how other peoples emotions can affect their behaviors,not assigned,
