question-id,full_item,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18,Field 19,Field 20,Field 21,Field 22,Field 23,Field 24,Field 25,Field 26,Field 27,Field 28,Field 29,Field 30,Field 31,Field 32,Field 33,Field 34,Field 35,Field 36,Field 37,Field 38,Field 39,Field 40,Field 41,Field 42,Field 43,Field 44,Field 45,Field 46,Field 47,Field 48,Field 49,Field 50,Field 51,Field 52,Field 53,Field 54,Field 55,Field 56,Field 57,Field 58,Field 59,Field 60,Field 61
q2,I hold a grudge.,3.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,4.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0
q3,I do not mind being the centre of attention.,1.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,5.0,2.0,5.0,3.0,5.0,4.0,4.0,1.0,3.0,4.0,5.0,1.0,2.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,5.0,1.0,4.0,4.0,1.0,2.0,1.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0
q4,I do not like poetry.,1.0,2.0,4.0,2.0,3.0,5.0,1.0,3.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,5.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,1.0
q5,I complete tasks successfully.,2.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
q6,I believe that others have good intentions.,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,4.0,1.0,4.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0
q7,I avoid philosophical discussions.,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
q8,I need a push to get started.,5.0,5.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,1.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0
q9,I cut others to pieces.,5.0,3.0,1.0,2.0,5.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,5.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0
q10,I make friends easily.,5.0,4.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,5.0,1.0,3.0,2.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0
q11,I feel comfortable with myself.,3.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0
q13,I am easy to satisfy.,5.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,1.0,4.0,3.0,2.0,3.0,5.0,4.0,1.0,2.0,5.0,4.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0
q14,I keep in the background.,5.0,4.0,2.0,3.0,2.0,1.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,1.0,4.0,5.0,3.0,2.0,4.0,5.0,1.0,4.0,2.0,2.0,5.0,3.0,2.0,1.0,4.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0
q15,I am always prepared.,1.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,2.0,1.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0
q16,I enjoy wild flights of fantasy.,5.0,5.0,2.0,3.0,5.0,1.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,2.0,2.0,5.0,5.0,4.0,5.0,4.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,2.0,2.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,4.0,5.0
q17,I get stressed out easily.,5.0,3.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,2.0,5.0,5.0,2.0,5.0,3.0,2.0,5.0,5.0,2.0,4.0,5.0,3.0,5.0,4.0,2.0,1.0,4.0,3.0,1.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0
q18,I avoid contact with others.,5.0,1.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,4.0,5.0,1.0,1.0,5.0,5.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0
q19,I am not easily bothered by things.,5.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,2.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,2.0,5.0,5.0
q20,I shirk my duties.,5.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0
q21,I can say things beautifully.,3.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,2.0,3.0,1.0,4.0,5.0,1.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0
q22,I suspect hidden motives in others.,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,5.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0
q23,I cheer people up.,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0
q25,I do things according to a plan.,5.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0
q26,I am concerned about others.,3.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0
q27,I am relaxed most of the time.,2.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,3.0,1.0,4.0,2.0,5.0,5.0,1.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,1.0,2.0,5.0,2.0,2.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0
q28,I waste my time.,5.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,5.0,1.0,3.0,2.0,4.0,1.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
q30,I dislike myself.,1.0,4.0,5.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
q31,I enjoy thinking about things.,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0
q32,I get back at others.,5.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,1.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,1.0,4.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0
q33,I warm up quickly to others.,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,4.0,1.0,5.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0
q34,I do not enjoy going to art museums.,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,5.0,3.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0
q37,I seldom feel blue.,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,1.0,2.0,3.0,4.0,4.0,5.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,5.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0
