,impressions,age,gender,id,target,fold,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32
0,this person is aware of their faults and is able to acknowledge when they may be wrong. They are empathetic,24.0,2,60ff2f0974e81010402b42cc,17.0,8.0,,,,,,,,4.0,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,
1,"This person uses humor to make themselves feel better, but does not put down themselves or others or use humor if it will offend someone else. ",27.0,2,60fd933d5461857048f9e74c,55.0,8.0,,,,,,,,1.0,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,
2,They just put number one for every answer.,28.0,2,60419dac7182e319eed3689e,8.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,
3,"Humorous, a little insensitive, sociable",20.0,2,6310a712d8fb7a5b37f400f9,48.0,8.0,,,,,,,,2.0,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,
4,"Good sense of humor, self-deprecating, enjoys making others laugh",42.0,2,5df737dd76c03b4e80f001e3,61.0,1.0,,,2.0,,,,,,,,4.0,5.0,,,,,,,,,,,2.0,,,,,,,,,
5,They seem very similar to myself where they use humor to make fun of themselves and make situations better.,24.0,2,62385e34d5c3a3c82b3384e3,40.0,8.0,,,,,,,,4.0,,5.0,,,,,,,,,,3.0,,,,,,,,,,,,
6,This person is often picked on by groups but stands up for themselves. They enjoy laughing and joking with friends if they are not the one getting picked on. ,20.0,2,5ee2eb5855fc0027496f4956,36.0,6.0,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
7,They seem to be a likeable person.,35.0,2,5f13f82a37fa2742c0b4d6a9,9.0,8.0,,,,,,,,2.0,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,
8,"I think this person seems to answer somewhat inconsistently on some questions. But generally, I think they like to think of funny things to cheer themselves up, they joke around sometimes, like to jokingly tease people but not insult them, and seem like an average kind of person.",34.0,1,60ebbdd7a4f2acdb9a9769e5,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,5.0,,,,,2.0,
9,I believe they think highly of themselves and do not perceive themself as the most humorous nor sad person.,26.0,1,5add4ae309eae2000112d116,19.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,2.0,,,,,,,
10,Very humorous and light hearted. With self confidence and kindness where they would not use humor against someone,28.0,2,611d9a96cb8247c0a431843b,31.0,1.0,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
11,"They are funny and like to joke around with friends, but they try not to use humor to cope with issues like sadness or when they are alone",24.0,2,61118ce038579f457b65e061,26.0,6.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
12,funny guy,36.0,1,6127db7443fb930ee540e944,29.0,2.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,3.0,,2.0,,,
13,They think they are funny but not mean. They consider themselves funny but popular. ,21.0,2,61033627c32742424aeaaac1,52.0,10.0,,,,,,,,,,,,,5.0,,,4.0,,,,,,2.0,,,,,,,,,,
14,Strong sense of humor. Seriously could've been taken by me as I would've answered most of the questions the same way.,50.0,2,63a014661d4b21a876e24887,13.0,9.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
15,person likes to laugh and make others laugh,24.0,2,5e69be2cd02ab2027bff5108,53.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,
16,Very funny ,51.0,2,63fd5efe8a2ed86c104fafc1,25.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
17,"This person seems to like to laugh and make fun of others but for the most part doesn't like to be the butt of the joke themselves...There is some inconsistency in responses about this person as far as being made fun of or making fun of themselves.  All in all, I have a fairly negative impression of the person.  ",47.0,2,60bc2284cfc4b7c2ab9cacdb,18.0,6.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
18,Funny to compensate but kind,30.0,2,5cd5f2c2dcabe8001d040bd1,30.0,1.0,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,5.0,,,,,,,,,
19,"They have a good sense of humor and a good self esteem, and they don't tend to use self-deprecating humor",32.0,2,6400e44702fc23084336a910,60.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,2.0,,2.0,,,
20,"Bad coping mechanisms, low self-esteem ",29.0,2,6286a659a5532fb66c31839f,49.0,4.0,,,,,,3.0,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,
21,I think this person places a large importance on humor and admits to joking even at the expense of others.,21.0,2,61008433043513828c95b4f7,38.0,1.0,,,4.0,,,,,,,,4.0,3.0,,,,,,,,,,,1.0,,,,,,,,,
22,Just a normal slightly humorous person,49.0,2,5dab9bb23dd8f50015d256d5,16.0,7.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,
23,"Funny, practical, insecure, & when they are down they don't seem to find the funny things in the situation. ",32.0,1,63f793ffba7e890a6efd936e,28.0,4.0,,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
24,They're conscious of other people and don't want to make them uncomfortable. They also don't tend to joke around much in general ,31.0,1,5e2d0dd5be23b2320e23993a,59.0,9.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
25,worried about what others think about himself and concerned about hurting others feelings,62.0,1,645ab74a103a05d7fe6215d6,34.0,10.0,,,,,,,,,,,,,5.0,,,4.0,,,,,,1.0,,,,,,,,,,
26,They enjoy humor and sometimes use it to cope with negative feelings somewhat.  They were contradictory about jokes about themselves and whether they put themselves down.,35.0,3,5f569a0ff9c7250ee0bfd713,22.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
27,They do not think they are funny and do not agree with using humor to make fun of others. They also don’t believe humor can lift the human spirit,20.0,2,60fcfd2bd2f8abd64d9489c6,14.0,10.0,,,,,,,,,,,,,3.0,,,1.0,,,,,,5.0,,,,,,,,,,
28,"They like to laugh with friends, but don’t use humor to cope",32.0,2,63d13d5581e6d01c11fb0cbd,2.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,1.0,,,,,,,
29,This person appears to be a mostly easy-going person and enjoys making other people laugh. They don't enjoy hurting other peoples' feelings.,64.0,2,5c5c70947676860001fff825,54.0,10.0,,,,,,,,,,,,,5.0,,,3.0,,,,,,3.0,,,,,,,,,,
30,doesn't have that great of self esteem ,31.0,2,5edd13e3858a15a07241964b,4.0,8.0,,,,,,,,2.0,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,
31,Seems a person of good humor.  Seems a bit shy and unsure of its self.  ,60.0,1,628e59c5569a529119c936b4,6.0,8.0,,,,,,,,3.0,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,
32,"carefree, has humor, good natured ",48.0,2,56d9bcc86301bf00059ec5b5,21.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,4.0,
33,they are a fairly positive individual,83.0,2,5d498ea0faa15b001acd4a5d,41.0,8.0,,,,,,,,1.0,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,
34,"Person seems to have low self-esteem. Appears to use humor a lot to get through things, yet says they don't like it",28.0,1,5c1304ce72f7760001636d60,20.0,9.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
35,They think about how others feel a lot.,44.0,2,5c5c47bcfe6bce0001312ea8,37.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,1.0,,,,,,,
36,"They like to have a good time, are always laughing and smiling. They like to make sure everyone around them is in a good mood as well.",20.0,2,60ff91c9537055597a873ba6,42.0,9.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
