question-id,full_item,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18,Field 19,Field 20,Field 21,Field 22,Field 23,Field 24,Field 25,Field 26,Field 27,Field 28,Field 29,Field 30,Field 31,Field 32,Field 33,Field 34,Field 35,Field 36,Field 37,Field 38,Field 39,Field 40,Field 41,Field 42,Field 43,Field 44,Field 45,Field 46,Field 47,Field 48,Field 49,Field 50,Field 51,Field 52,Field 53,Field 54,Field 55,Field 56,Field 57,Field 58,Field 59,Field 60,Field 61
Q1,I usually don’t laugh or joke around much with other people.,3.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,2.0,1.0
Q2,"If i am feeling depressed, i can usually cheer myself up with humor.",2.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,4.0,5.0
Q3,"If someone makes a mistake, i will often tease them about it.",2.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,1.0,2.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,5.0,5.0,3.0,3.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,4.0,5.0,5.0,2.0,1.0,3.0,1.0,5.0,4.0,3.0,2.0,2.0,5.0
Q4,I let people laugh at me or make fun at my expense more than i should.,3.0,4.0,3.0,3.0,5.0,4.0,1.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,4.0
Q5,I don’t have to work very hard at making other people laugh—i seem to be a naturally humorous person.,4.0,2.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,5.0,1.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0,4.0,3.0,4.0,5.0
Q6,"Even when i’m by myself, i’m often amused by the absurdities of life.",5.0,1.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0
Q7,People are never offended or hurt by my sense of humor.,3.0,4.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,5.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0
Q8,I will often get carried away in putting myself down if it makes my family or friends laugh.,2.0,2.0,3.0,2.0,5.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0,1.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,1.0,1.0,2.0,5.0
Q9,I rarely make other people laugh by telling funny stories about myself.,5.0,5.0,4.0,3.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,4.0,1.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,4.0,2.0,1.0
Q10,If i am feeling upset or unhappy i usually try to think of something funny about the situation to make myself feel better.,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,5.0,4.0
