,Dataset,Model,Correlation,p-value,L1 Loss
0,IPIP,Best Model,0.309165,0.0,0.10188043783328656
1,IPIP,Best Model,0.457497,0.0,0.08896996912714004
2,IPIP,Best Model,0.396173,0.0,0.137524557956778
3,IPIP,Best Model,0.395279,0.0,0.07998877350547291
4,IPIP,Best Model,0.355082,0.0,0.08812798203760876
5,IPIP,Best Model,0.543352,0.0,0.22368790345214706
6,IPIP,Best Model,0.415477,0.0,0.06258770698849285
7,IPIP,Best Model,0.356095,0.0,0.07577883805781645
8,IPIP,Best Model,0.370758,0.0,0.08111142295818131
9,IPIP,Best Model,0.54225,0.0,0.08560202076901488
10,IPIP,Best Model,0.428079,0.0,0.16811675554308167
11,IPIP,Best Model,0.377396,0.0,0.06146505753578445
12,IPIP,Best Model,0.348275,0.0,0.17934325007016558
13,IPIP,Best Model,0.360044,0.0,0.08560202076901488
14,IPIP,Best Model,0.194432,0.000724,0.08504069604266068
15,IPIP,Best Model,0.251377,1e-05,0.10552904855458883
16,IPIP,Best Model,0.402462,0.0,0.059219758630367665
17,IPIP,Best Model,0.259961,5e-06,0.0816727476845355
18,IPIP,Best Model,0.308532,0.0,0.17008139208532136
19,IPIP,Best Model,0.364635,0.0,0.07858546168958742
20,IPIP,Best Model,0.37864,0.0,0.16699410609037327
21,IPIP,Best Model,0.571545,0.0,0.18186921133875947
22,IPIP,Best Model,0.315639,0.0,0.2225652539994387
23,IPIP,Best Model,0.355219,0.0,0.0684816166152119
24,IPIP,Best Model,0.412177,0.0,0.08335672186359809
25,IPIP,Best Model,0.413821,0.0,0.07718214987370194
26,IPIP,Best Model,0.386474,0.0,0.07634016278417065
27,IPIP,Best Model,0.372803,0.0,0.07662082514734773
28,IPIP,Best Model,0.350231,0.0,0.0813920853213584
29,IPIP,Best Model,0.258979,5e-06,0.09009261857984845
30,IPIP,Best Model,0.334174,0.0,0.06539433062026383
31,IPIP,Best Model,0.285952,0.0,0.0679202918888577
32,IPIP,Best Model,0.379579,0.0,0.2593320235756385
33,IPIP,Best Model,0.571896,0.0,0.13555992141453832
34,IPIP,Best Model,0.360523,0.0,0.15436429974740387
35,IPIP,Best Model,0.49216,0.0,0.11591355599214145
36,IPIP,Best Model,0.516889,0.0,0.09795116474880719
37,IPIP,Best Model,0.392439,0.0,0.08728599494807747
38,IPIP,Best Model,0.584647,0.0,0.2472635419590233
39,IPIP,Best Model,0.260525,5e-06,0.08560202076901488
40,IPIP,Best Model,0.411536,0.0,0.06511366825708673
41,IPIP,Best Model,0.406701,0.0,0.33875947235475723
42,IPIP,Best Model,0.448192,0.0,0.22116194218355317
43,IPIP,Best Model,0.398289,0.0,0.06679764243614932
44,IPIP,Best Model,0.416496,0.0,0.16895874263261296
45,IPIP,Best Model,0.346701,0.0,0.13247263541959023
46,IPIP,Best Model,0.436703,0.0,0.07437552624193096
47,IPIP,Best Model,0.513259,0.0,0.07802413696323324
48,IPIP,Best Model,0.301242,0.0,0.1641874824586023
49,IPIP,Best Model,0.378441,0.0,0.20291888857704182
50,IPIP,Best Model,0.499261,0.0,0.11226494527083918
51,IPIP,Best Model,0.283482,1e-06,0.08840864440078586
52,IPIP,Best Model,0.510024,0.0,0.20937412293011506
53,IPIP,Best Model,0.494071,0.0,0.08335672186359809
54,IPIP,Best Model,0.215459,0.000188,0.05332584900364861
55,IPIP,Best Model,0.367433,0.0,0.07381420151557676
56,IPIP,Best Model,0.45711,0.0,0.09177659275891104
57,IPIP,Best Model,0.333558,0.0,0.206286836935167
58,IPIP,Best Model,0.235441,3.4e-05,0.06679764243614932
59,IPIP,Best Model,0.461777,0.0,0.11731686780802694
60,IPIP,Best Model,0.440921,0.0,0.06146505753578445
61,IPIP,Best Model,0.119548,0.038182,0.07128824024698288
62,IPIP,Best Model,0.384362,0.0,0.06511366825708673
63,IPIP,Best Model,0.47665,0.0,0.20291888857704182
64,IPIP,Best Model,0.489726,0.0,0.05893909626719057
65,IPIP,Best Model,0.467399,0.0,0.13808588268313218
66,IPIP,Best Model,0.425216,0.0,0.22116194218355317
67,IPIP,Best Model,0.245707,0.0,0.1372438955936009
68,IPIP,Best Model,0.429981,0.0,0.1243334268874544
69,IPIP,Best Model,0.344018,0.0,0.0550098231827112
70,IPIP,Best Model,0.484268,0.0,0.2037608756665731
71,IPIP,Best Model,0.461357,0.0,0.13331462250912152
72,IPIP,Best Model,0.465178,0.0,0.07409486387875386
73,IPIP,Best Model,0.490527,0.0,0.2450182430536065
74,IPIP,Best Model,0.322994,0.0,0.15997754701094583
75,IPIP,Best Model,0.376796,0.0,0.12770137524557956
76,IPIP,Best Model,0.247801,1.2e-05,0.06371035644120124
77,IPIP,Best Model,0.208285,0.000287,0.06539433062026383
78,IPIP,Best Model,0.398118,0.0,0.18607914678641593
79,IPIP,Best Model,0.196576,0.000617,0.08391804658995229
80,IPIP,Best Model,0.369134,0.0,0.07886612405276452
81,IPIP,Best Model,0.217298,0.0,0.14397979230985125
82,IPIP,Best Model,0.346012,0.0,0.07662082514734773
83,IPIP,Best Model,0.35641,0.0,0.05164187482458602
84,IPIP,Best Model,0.212078,0.00021,0.09935447656469268
85,IPIP,Best Model,0.471393,0.0,0.11338759472354758
86,IPIP,Best Model,0.523343,0.0,0.07493685096828516
87,IPIP,Best Model,0.435021,0.0,0.059500420993544766
88,IPIP,Best Model,0.390299,0.0,0.19702497895032275
89,IPIP,Best Model,0.35591,0.0,0.14875105248386192
90,IPIP,Best Model,0.410366,0.0,0.07184956497333708
91,IPIP,Best Model,0.396235,0.0,0.13191131069323603
92,IPIP,Best Model,0.390037,0.0,0.13303396014594443
93,IPIP,Best Model,0.406622,0.0,0.2343530732528768
94,IPIP,Best Model,0.4693,0.0,0.16110019646365423
95,IPIP,Best Model,0.374115,0.0,0.13387594723547572
96,IPIP,Best Model,0.51406,0.0,0.12994667415099634
97,IPIP,Best Model,0.210798,0.00026,0.0682009542520348
98,IPIP,Best Model,0.460588,0.0,0.17316867808026942
99,IPIP,Best Model,0.627644,0.0,0.07521751333146225
100,IPIP,Best Model,0.387294,0.0,0.24417625596407522
101,IPIP,Best Model,0.368733,0.0,0.0825147347740668
102,IPIP,Best Model,0.285798,0.0,0.13191131069323603
103,IPIP,Best Model,0.596123,0.0,0.17260735335391525
104,IPIP,Best Model,0.230815,5.3e-05,0.09121526803255683
105,IPIP,Best Model,0.498187,0.0,0.15801291046870614
106,IPIP,Best Model,0.337107,0.0,0.04630928992422116
107,IPIP,Best Model,0.401555,0.0,0.20039292730844793
108,IPIP,Best Model,0.235549,3.6e-05,0.08700533258490037
109,IPIP,Best Model,0.41072,0.0,0.20291888857704182
110,IPIP,Best Model,0.390405,0.0,0.09710917765927589
111,IPIP,Best Model,0.270349,2e-06,0.08083076059500421
112,IPIP,Best Model,0.2467,1.5e-05,0.06427168116755543
113,IPIP,Best Model,0.398703,0.0,0.13976985686219479
114,IPIP,Best Model,0.228385,7.3e-05,0.07970811114229581
115,IPIP,Best Model,0.242574,2.1e-05,0.06399101880437834
116,IPIP,Best Model,0.164032,0.004458,0.07213022733651417
117,IPIP,Best Model,0.437045,0.0,0.137524557956778
118,IPIP,Best Model,0.363916,0.0,0.24165029469548133
119,IPIP,Best Model,0.451615,0.0,0.13864720740948638
120,IPIP,Best Model,0.250489,1.1e-05,0.0816727476845355
121,IPIP,Best Model,0.375561,0.0,0.14650575357844514
122,IPIP,Best Model,0.289612,0.0,0.0673589671625035
123,IPIP,Best Model,0.291095,0.0,0.18383384788099916
124,IPIP,Best Model,0.440099,0.0,0.07409486387875386
125,IPIP,Best Model,0.216288,0.0,0.16250350827953972
126,IPIP,Best Model,0.302019,0.0,0.1908504069604266
127,IPIP,Best Model,0.233235,4.3e-05,0.10496772382823463
128,IPIP,Best Model,0.457667,0.0,0.16783609317990458
129,IPIP,Best Model,0.246191,0.0,0.22537187763120967
130,IPIP,Best Model,0.31484,0.0,0.29441481897277577
131,IPIP,Best Model,0.439945,0.0,0.15829357283188325
132,IPIP,Best Model,0.396932,0.0,0.12910468706146505
133,IPIP,Best Model,0.380114,0.0,0.14818972775750772
134,IPIP,Best Model,0.486795,0.0,0.23744035924782486
135,IPIP,Best Model,0.416582,0.0,0.15660959865282065
136,IPIP,Best Model,0.481249,0.0,0.05697445972495088
137,IPIP,Best Model,0.233661,4.1e-05,0.07213022733651417
138,IPIP,Best Model,0.108137,0.008024,0.18607914678641593
139,IPIP,Best Model,0.206415,0.0,0.10468706146505753
140,IPIP,Best Model,0.280083,0.0,0.2792590513612125
141,IPIP,Best Model,0.491291,0.0,0.1807465618860511
142,IPIP,Best Model,0.444038,0.0,0.07156890261015998
143,IPIP,Best Model,0.246954,1.6e-05,0.07493685096828516
144,IPIP,Best Model,0.421074,0.0,0.20853213584058378
145,IPIP,Best Model,0.400388,0.0,0.07662082514734773
146,IPIP,Best Model,0.270521,2e-06,0.10777434746000561
147,IPIP,Best Model,0.428897,0.0,0.13050799887735054
148,IPIP,Best Model,0.282264,0.0,0.15717092337917485
149,IPIP,Best Model,0.364775,0.0,0.0673589671625035
150,IPIP,Best Model,0.209357,0.0,0.19618299186079147
151,IPIP,Best Model,0.385486,0.0,0.15408363738422678
152,IPIP,Best Model,0.395654,0.0,0.1352792590513612
153,IPIP,Best Model,0.257924,6e-06,0.07858546168958742
154,IPIP,Best Model,0.132792,0.02098,0.0825147347740668
155,IPIP,Best Model,0.102013,0.078208,0.0825147347740668
156,IPIP,Best Model,0.183365,0.001398,0.08504069604266068
157,IPIP,Best Model,0.43597,0.0,0.140331181588549
158,IPIP,Best Model,0.214851,0.000182,0.08700533258490037
159,IPIP,Best Model,0.337332,0.0,0.2329497614369913
160,IPIP,Best Model,0.481874,0.0,0.09430255402750491
161,IPIP,WORD2VEC,0.049022,0.398319,0.1361212461408925
162,IPIP,WORD2VEC,0.14245,0.013843,0.12152680325568341
163,IPIP,WORD2VEC,0.128866,0.001546,0.17990457479651978
164,IPIP,WORD2VEC,0.096254,0.097223,0.1091776592758911
165,IPIP,WORD2VEC,-0.087674,0.127189,0.12966601178781925
166,IPIP,WORD2VEC,0.195141,0.0,0.32725231546449624
167,IPIP,WORD2VEC,0.184455,0.001332,0.07521751333146225
168,IPIP,WORD2VEC,0.086307,0.135193,0.09767050238563009
169,IPIP,WORD2VEC,0.177568,0.001985,0.09682851529609879
170,IPIP,WORD2VEC,0.201566,0.000464,0.1243334268874544
171,IPIP,WORD2VEC,0.189614,3e-06,0.2208812798203761
172,IPIP,WORD2VEC,0.126158,0.028908,0.07998877350547291
173,IPIP,WORD2VEC,0.101578,0.002414,0.22986247544204322
174,IPIP,WORD2VEC,0.175366,0.002224,0.11563289362896435
175,IPIP,WORD2VEC,0.130704,0.023801,0.10244176255964076
176,IPIP,WORD2VEC,0.121354,0.03565,0.13078866124052765
177,IPIP,WORD2VEC,0.091518,0.11248,0.07914678641594163
178,IPIP,WORD2VEC,0.134684,0.019407,0.10272242492281786
179,IPIP,WORD2VEC,0.164837,5e-05,0.20797081111422958
180,IPIP,WORD2VEC,0.136302,0.018176,0.10019646365422397
181,IPIP,WORD2VEC,0.065679,0.107427,0.23407241088969968
182,IPIP,WORD2VEC,0.235287,0.0,0.2618579848442324
183,IPIP,WORD2VEC,0.164233,1e-06,0.2565253999438675
184,IPIP,WORD2VEC,0.130925,0.02287,0.08447937131630648
185,IPIP,WORD2VEC,0.113164,0.049826,0.11619421835531855
186,IPIP,WORD2VEC,0.088724,0.125825,0.10665169800729722
