,constructs
A1,9.0
A2,5.0
A3,9.0
A4,5.0
A5,6.0
A6,7.0
A7,10.0
A8,13.0
A9,1.0
A10,2.0
B1,2.0
B2,13.0
B3,8.0
B4,8.0
B5,8.0
B6,9.0
B7,13.0
B8,14.0
B9,2.0
B10,16.0
B11,9.0
B12,14.0
B13,5.0
C1,11.0
C2,11.0
C3,6.0
C4,5.0
C5,16.0
C6,10.0
C7,11.0
C8,11.0
C9,11.0
C10,12.0
D1,2.0
D2,15.0
D3,9.0
D4,12.0
D5,2.0
D6,16.0
D7,2.0
D8,15.0
D9,2.0
D10,11.0
E1,1.0
E2,5.0
E3,13.0
E4,5.0
E5,5.0
E6,2.0
E7,5.0
E8,8.0
E9,5.0
E10,14.0
F1,2.0
F2,6.0
F3,2.0
F4,6.0
F5,13.0
F6,6.0
F7,6.0
F8,2.0
F9,6.0
F10,1.0
G1,11.0
G2,8.0
G3,15.0
G4,5.0
G5,10.0
G6,9.0
G7,12.0
G8,15.0
G9,5.0
G10,2.0
H1,15.0
H2,5.0
H3,2.0
H4,8.0
H5,10.0
H6,5.0
H7,5.0
H8,5.0
H9,6.0
H10,2.0
I1,9.0
I2,2.0
I3,4.0
I4,16.0
I5,2.0
I6,12.0
I7,9.0
I8,9.0
I9,9.0
I10,2.0
J1,9.0
J2,15.0
J3,5.0
J4,5.0
J5,2.0
J6,4.0
J7,9.0
J8,5.0
J9,2.0
J10,12.0
K1,11.0
K2,3.0
K3,2.0
K4,11.0
K5,11.0
K6,4.0
K7,3.0
K8,2.0
K9,3.0
K10,4.0
L1,9.0
L2,9.0
L3,12.0
L4,12.0
L5,14.0
L6,3.0
L7,3.0
L8,12.0
L9,16.0
L10,14.0
M1,6.0
M2,1.0
M3,2.0
M4,7.0
M5,2.0
M6,9.0
M7,7.0
M8,1.0
M9,1.0
M10,9.0
N1,12.0
N2,4.0
N3,2.0
N4,5.0
N5,2.0
N6,5.0
N7,11.0
N8,5.0
N9,8.0
N10,8.0
O1,4.0
O2,15.0
O3,8.0
O4,4.0
O5,4.0
O6,16.0
O7,16.0
O8,15.0
O9,11.0
O10,8.0
P1,12.0
P2,16.0
P3,10.0
P4,12.0
P5,15.0
P6,16.0
P7,11.0
P8,16.0
P9,6.0
P10,4.0
