,constructs
A1,1.0
A2,14.0
A3,1.0
A4,1.0
A5,5.0
A6,1.0
A7,1.0
A8,1.0
A9,13.0
A10,1.0
B1,2.0
B2,2.0
B3,2.0
B4,2.0
B5,7.0
B6,6.0
B7,12.0
B8,2.0
B9,16.0
B10,16.0
B11,2.0
B12,2.0
B13,8.0
C1,3.0
C2,14.0
C3,16.0
C4,3.0
C5,16.0
C6,16.0
C7,3.0
C8,16.0
C9,1.0
C10,16.0
D1,4.0
D2,4.0
D3,11.0
D4,11.0
D5,4.0
D6,2.0
D7,4.0
D8,4.0
D9,4.0
D10,4.0
E1,5.0
E2,5.0
E3,5.0
E4,5.0
E5,1.0
E6,10.0
E7,5.0
E8,5.0
E9,5.0
E10,5.0
F1,6.0
F2,6.0
F3,10.0
F4,9.0
F5,8.0
F6,6.0
F7,6.0
F8,16.0
F9,4.0
F10,6.0
G1,7.0
G2,5.0
G3,5.0
G4,1.0
G5,7.0
G6,11.0
G7,9.0
G8,11.0
G9,11.0
G10,2.0
H1,8.0
H2,8.0
H3,8.0
H4,8.0
H5,8.0
H6,13.0
H7,5.0
H8,8.0
H9,8.0
H10,10.0
I1,16.0
I2,9.0
I3,12.0
I4,16.0
I5,9.0
I6,9.0
I7,9.0
I8,9.0
I9,9.0
I10,9.0
J1,10.0
J2,10.0
J3,10.0
J4,10.0
J5,8.0
J6,13.0
J7,10.0
J8,6.0
J9,10.0
J10,10.0
K1,11.0
K2,7.0
K3,7.0
K4,11.0
K5,11.0
K6,11.0
K7,11.0
K8,11.0
K9,11.0
K10,4.0
L1,12.0
L2,16.0
L3,16.0
L4,12.0
L5,2.0
L6,16.0
L7,12.0
L8,4.0
L9,1.0
L10,4.0
M1,6.0
M2,13.0
M3,13.0
M4,4.0
M5,13.0
M6,13.0
M7,2.0
M8,13.0
M9,13.0
M10,9.0
N1,14.0
N2,14.0
N3,14.0
N4,14.0
N5,14.0
N6,14.0
N7,14.0
N8,1.0
N9,15.0
N10,5.0
O1,15.0
O2,15.0
O3,6.0
O4,15.0
O5,15.0
O6,16.0
O7,15.0
O8,15.0
O9,15.0
O10,12.0
P1,16.0
P2,16.0
P3,16.0
P4,9.0
P5,2.0
P6,6.0
P7,2.0
P8,3.0
P9,9.0
P10,9.0
