,encoding
A1,0.0
A2,0.0
A3,0.0
A4,0.0
A5,0.0
A6,0.0
A7,1.0
A8,0.0
A9,0.0
A10,1.0
B1,0.0
B2,1.0
B3,0.0
B4,1.0
B5,0.0
B6,1.0
B7,0.0
B8,1.0
B9,0.0
B10,0.0
B11,0.0
B12,1.0
B13,0.0
C1,1.0
C2,0.0
C3,0.0
C4,0.0
C5,1.0
C6,0.0
C7,0.0
C8,0.0
C9,1.0
C10,0.0
D1,0.0
D2,1.0
D3,1.0
D4,1.0
D5,0.0
D6,0.0
D7,1.0
D8,1.0
D9,0.0
D10,0.0
E1,0.0
E2,0.0
E3,0.0
E4,1.0
E5,0.0
E6,1.0
E7,1.0
E8,0.0
E9,0.0
E10,1.0
F1,1.0
F2,1.0
F3,0.0
F4,1.0
F5,1.0
F6,1.0
F7,1.0
F8,1.0
F9,1.0
F10,0.0
G1,1.0
G2,0.0
G3,1.0
G4,0.0
G5,1.0
G6,0.0
G7,0.0
G8,1.0
G9,1.0
G10,0.0
H1,0.0
H2,1.0
H3,1.0
H4,1.0
H5,0.0
H6,1.0
H7,0.0
H8,0.0
H9,0.0
H10,0.0
I1,0.0
I2,0.0
I3,0.0
I4,0.0
I5,0.0
I6,0.0
I7,1.0
I8,0.0
I9,0.0
I10,0.0
J1,0.0
J2,1.0
J3,0.0
J4,0.0
J5,1.0
J6,0.0
J7,0.0
J8,0.0
J9,0.0
J10,0.0
K1,1.0
K2,1.0
K3,1.0
K4,1.0
K5,1.0
K6,0.0
K7,0.0
K8,0.0
K9,0.0
K10,0.0
L1,1.0
L2,0.0
L3,0.0
L4,1.0
L5,1.0
L6,0.0
L7,0.0
L8,0.0
L9,1.0
L10,1.0
M1,1.0
M2,0.0
M3,1.0
M4,0.0
M5,1.0
M6,1.0
M7,0.0
M8,1.0
M9,1.0
M10,1.0
N1,0.0
N2,0.0
N3,0.0
N4,0.0
N5,0.0
N6,0.0
N7,0.0
N8,0.0
N9,0.0
N10,0.0
O1,0.0
O2,1.0
O3,1.0
O4,0.0
O5,0.0
O6,1.0
O7,1.0
O8,1.0
O9,1.0
O10,1.0
P1,0.0
P2,0.0
P3,0.0
P4,0.0
P5,0.0
P6,1.0
P7,0.0
P8,0.0
P9,0.0
P10,0.0
