,constructs
q1,4.0
q2,5.0
q3,3.0
q4,4.0
q5,4.0
q6,5.0
q7,4.0
q8,5.0
q9,2.0
q10,2.0
q11,1.0
q12,5.0
q13,1.0
q14,5.0
q15,1.0
q16,5.0
q17,3.0
q18,5.0
q19,2.0
q20,2.0
q21,2.0
q22,2.0
q23,5.0
q24,4.0
q25,5.0
q26,1.0
q27,3.0
q28,4.0
q29,4.0
q30,2.0
q31,5.0
q32,1.0
q33,1.0
q34,5.0
q35,4.0
q36,4.0
q37,1.0
q38,4.0
q39,5.0
q40,1.0
q41,5.0
q42,5.0
q43,5.0
q44,4.0
q45,3.0
q46,4.0
q47,1.0
q48,3.0
q49,4.0
q50,2.0
q51,4.0
q52,2.0
q53,4.0
q54,5.0
q55,4.0
q56,3.0
q57,5.0
q58,1.0
q59,1.0
q60,5.0
q61,2.0
q62,4.0
q63,4.0
q64,2.0
q65,2.0
q66,1.0
q67,1.0
q68,2.0
q69,2.0
q70,1.0
q71,1.0
q72,4.0
q73,2.0
q74,3.0
q75,3.0
q76,3.0
q77,4.0
q78,2.0
q79,2.0
q80,1.0
q81,2.0
q82,4.0
q83,4.0
q84,1.0
q85,1.0
q86,1.0
q87,3.0
q88,3.0
q89,4.0
q90,1.0
q91,3.0
q92,5.0
q93,5.0
q94,3.0
q95,2.0
q96,3.0
q97,3.0
q98,2.0
q99,2.0
q100,5.0
