,constructs
q1,1.0
q2,5.0
q3,2.0
q4,1.0
q5,4.0
q6,2.0
q7,1.0
q8,4.0
q9,2.0
q10,3.0
q11,2.0
q12,5.0
q13,5.0
q14,4.0
q15,4.0
q16,1.0
q17,5.0
q18,3.0
q19,5.0
q20,4.0
q21,2.0
q22,2.0
q23,2.0
q24,1.0
q25,4.0
q26,2.0
q27,5.0
q28,4.0
q29,3.0
q30,2.0
q31,1.0
q32,2.0
q33,3.0
q34,1.0
q35,4.0
q36,3.0
q37,5.0
q38,4.0
q39,3.0
q40,5.0
q41,4.0
q42,2.0
q43,3.0
q44,1.0
q45,4.0
q46,2.0
q47,5.0
q48,4.0
q49,3.0
q50,5.0
q51,1.0
q52,3.0
q53,2.0
q54,1.0
q55,4.0
q56,2.0
q57,5.0
q58,4.0
q59,3.0
q60,5.0
q61,1.0
q62,4.0
q63,3.0
q64,1.0
q65,4.0
q66,2.0
q67,5.0
q68,4.0
q69,3.0
q70,5.0
q71,3.0
q72,2.0
q73,3.0
q74,1.0
q75,4.0
q76,2.0
q77,5.0
q78,4.0
q79,2.0
q80,5.0
q81,1.0
q82,3.0
q83,3.0
q84,1.0
q85,4.0
q86,2.0
q87,3.0
q88,4.0
q89,1.0
q90,2.0
q91,1.0
q92,2.0
q93,3.0
q94,5.0
q95,4.0
q96,2.0
q97,2.0
q98,4.0
q99,3.0
q100,5.0
