,constructs
q1,1.0
q2,1.0
q3,1.0
q4,1.0
q5,1.0
q6,1.0
q7,1.0
q8,1.0
q9,1.0
q10,1.0
q11,1.0
q12,1.0
q13,1.0
q14,1.0
q15,1.0
q16,1.0
q17,1.0
q18,1.0
q19,1.0
q20,1.0
q21,1.0
q22,1.0
q23,1.0
q24,1.0
q25,1.0
q26,1.0
q27,1.0
q28,1.0
q29,1.0
q30,1.0
q31,1.0
q32,1.0
q33,1.0
q34,1.0
q35,1.0
q36,1.0
q37,1.0
q38,1.0
q39,1.0
q40,1.0
q41,1.0
q42,1.0
q43,1.0
q44,1.0
q45,1.0
q46,1.0
q47,1.0
q48,1.0
q49,1.0
q50,1.0
q51,1.0
q52,1.0
q53,1.0
q54,1.0
q55,1.0
q56,1.0
q57,1.0
q58,1.0
q59,1.0
q60,1.0
q61,1.0
q62,1.0
q63,1.0
q64,1.0
q65,1.0
q66,1.0
q67,1.0
q68,1.0
q69,1.0
q70,1.0
q71,1.0
q72,1.0
q73,1.0
q74,1.0
q75,1.0
q76,1.0
q77,1.0
q78,1.0
q79,1.0
q80,1.0
q81,1.0
q82,1.0
q83,1.0
q84,1.0
q85,1.0
q86,1.0
q87,1.0
q88,1.0
q89,1.0
q90,1.0
q91,1.0
q92,1.0
q93,1.0
q94,1.0
q95,1.0
q96,1.0
q97,1.0
q98,1.0
q99,1.0
q100,1.0
