,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
1,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0
2,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,4.0
3,5.0,2.0,1.0,5.0,1.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0,1.0,2.0,5.0
4,4.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,5.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0
7,5.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0
10,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0
11,5.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0
12,4.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0
13,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0
14,4.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0
15,5.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0
16,4.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0
17,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
18,3.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0
