,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0
1,4.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0
8,3.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0
11,2.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,1.0,5.0,2.0,3.0,2.0,2.0,4.0,5.0
13,4.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0
16,3.0,4.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,5.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0
21,4.0,4.0,3.0,5.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0
22,4.0,4.0,1.0,5.0,4.0,3.0,5.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0
24,3.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,4.0
33,1.0,3.0,5.0,3.0,4.0,5.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,5.0
