,constructs
q2,132.0
q3,185.0
q5,86.0
q6,102.0
q10,86.0
q11,6.0
q12,86.0
q14,92.0
q21,153.0
q22,12.0
q23,79.0
q25,207.0
q26,12.0
q27,92.0
q33,185.0
q35,12.0
q37,79.0
q38,153.0
q39,79.0
q41,12.0
q43,12.0
q44,15.0
q45,12.0
q48,207.0
q49,91.0
q50,86.0
q52,110.0
q53,207.0
q54,51.0
q57,86.0
q59,12.0
q62,12.0
q65,12.0
q67,12.0
q71,86.0
q73,12.0
q77,86.0
q78,28.0
q81,86.0
q91,86.0
q93,137.0
q99,34.0
q100,12.0
q102,12.0
q104,86.0
q105,28.0
q109,12.0
q110,86.0
q111,86.0
q112,129.0
q116,6.0
q117,152.0
q122,86.0
q126,86.0
q131,19.0
q132,19.0
q134,19.0
q136,46.0
q137,198.0
q138,19.0
q141,185.0
q142,12.0
q143,12.0
q146,12.0
q148,153.0
q149,6.0
q150,19.0
q151,81.0
q152,12.0
q155,12.0
q156,21.0
q157,12.0
q159,12.0
q161,110.0
q162,19.0
q167,12.0
q172,19.0
q174,46.0
q178,12.0
q179,92.0
q180,19.0
q182,12.0
q187,12.0
q188,12.0
q190,113.0
q192,19.0
q195,86.0
q197,242.0
q199,12.0
q203,34.0
q205,129.0
q206,1.0
q208,19.0
q209,137.0
q211,129.0
q213,12.0
q214,12.0
q216,19.0
q217,15.0
q218,19.0
q220,129.0
q223,1.0
q224,129.0
q225,1.0
q227,12.0
q228,19.0
q229,12.0
q232,12.0
q234,171.0
q235,12.0
q237,6.0
q238,92.0
q239,129.0
q243,19.0
q246,12.0
q247,19.0
q251,219.0
q253,12.0
q256,21.0
q261,129.0
q263,86.0
q268,92.0
q272,129.0
q273,129.0
q274,129.0
q275,129.0
q276,129.0
q277,207.0
q278,46.0
q281,79.0
q282,129.0
q283,12.0
q284,207.0
q286,81.0
q289,12.0
q290,12.0
q291,12.0
q292,86.0
q294,92.0
q296,12.0
q299,172.0
q300,67.0
q305,46.0
q306,129.0
q307,19.0
q308,81.0
q309,46.0
q310,153.0
q313,12.0
q314,27.0
q316,12.0
q317,81.0
q318,86.0
