,constructs
q2,1.0
q3,5.0
q5,7.0
q6,110.0
q10,5.0
q11,6.0
q12,58.0
q14,34.0
q21,8.0
q22,10.0
q23,81.0
q25,19.0
q26,12.0
q27,207.0
q33,10.0
q35,10.0
q37,12.0
q38,10.0
q39,10.0
q41,12.0
q43,12.0
q44,185.0
q45,8.0
q48,86.0
q49,110.0
q50,73.0
q52,21.0
q53,10.0
q54,51.0
q57,86.0
q59,86.0
q62,86.0
q65,12.0
q67,66.0
q71,86.0
q73,206.0
q77,5.0
q78,67.0
q81,92.0
q91,129.0
q93,28.0
q99,34.0
q100,12.0
q102,36.0
q104,66.0
q105,136.0
q109,12.0
q110,30.0
q111,86.0
q112,113.0
q116,66.0
q117,2.0
q122,44.0
q126,50.0
q131,46.0
q132,149.0
q134,19.0
q136,10.0
q137,49.0
q138,92.0
q141,5.0
q142,51.0
q143,22.0
q146,28.0
q148,6.0
q149,69.0
q150,19.0
q151,133.0
q152,136.0
q155,58.0
q156,58.0
q157,92.0
q159,12.0
q161,63.0
q162,69.0
q167,68.0
q172,19.0
q174,10.0
q178,28.0
q179,160.0
q180,63.0
q182,64.0
q187,65.0
q188,35.0
q190,12.0
q192,207.0
q195,68.0
q197,129.0
q199,129.0
q203,34.0
q205,113.0
q206,75.0
q208,74.0
q209,86.0
q211,129.0
q213,74.0
q214,74.0
q216,19.0
q217,75.0
q218,19.0
q220,75.0
q223,19.0
q224,174.0
q225,75.0
q227,185.0
q228,75.0
q229,15.0
q232,185.0
q234,92.0
q235,113.0
q237,5.0
q238,51.0
q239,215.0
q243,207.0
q246,12.0
q247,46.0
q251,86.0
q253,86.0
q256,118.0
q261,113.0
q263,65.0
q268,113.0
q272,68.0
q273,20.0
q274,86.0
q275,20.0
q276,152.0
q277,58.0
q278,58.0
q281,1.0
q282,110.0
q283,207.0
q284,207.0
q286,51.0
q289,51.0
q290,150.0
q291,92.0
q292,86.0
q294,92.0
q296,12.0
q299,153.0
q300,12.0
q305,19.0
q306,152.0
q307,51.0
q308,137.0
q309,102.0
q310,173.0
q313,27.0
q314,86.0
q316,15.0
q317,1.0
q318,129.0
q320,26.0
q321,65.0
q322,105.0
q323,207.0
q325,92.0
q326,85.0
q329,19.0
q330,67.0
q331,67.0
q332,110.0
q333,22.0
q335,12.0
q336,19.0
q337,113.0
q338,19.0
q339,75.0
q340,19.0
q341,5.0
q342,19.0
q344,19.0
q346,46.0
q347,92.0
q348,86.0
q350,113.0
q351,86.0
q352,86.0
q356,86.0
q358,86.0
q359,15.0
q360,86.0
q362,85.0
q363,129.0
q364,129.0
q365,113.0
q366,12.0
q367,63.0
q369,12.0
q370,195.0
q371,15.0
q375,27.0
q376,22.0
q377,86.0
q379,138.0
q380,207.0
q390,129.0
q392,32.0
q393,129.0
q396,223.0
q398,1.0
q402,207.0
q403,117.0
q408,81.0
q410,93.0
q411,113.0
q412,50.0
q414,12.0
q416,12.0
q417,60.0
q419,19.0
q420,51.0
q422,137.0
q426,1.0
q428,66.0
q429,103.0
q433,49.0
q434,92.0
q436,19.0
q439,185.0
q440,185.0
q441,80.0
q444,185.0
q445,37.0
q449,93.0
q451,12.0
q455,84.0
q456,84.0
q457,53.0
q458,129.0
q460,129.0
q462,133.0
q464,19.0
q467,63.0
q468,137.0
q471,86.0
q473,207.0
q475,86.0
q476,151.0
q477,113.0
q478,21.0
q480,86.0
q481,15.0
q482,132.0
q483,86.0
q484,12.0
q486,207.0
q489,86.0
q490,46.0
q495,68.0
q498,56.0
q503,131.0
q504,207.0
q507,97.0
q513,1.0
q515,63.0
q516,137.0
q518,136.0
q520,113.0
q521,56.0
q527,65.0
q528,150.0
q529,51.0
q532,58.0
q535,46.0
q538,34.0
q546,46.0
q547,56.0
q548,50.0
q550,46.0
q554,15.0
q555,15.0
q556,63.0
q558,93.0
q559,58.0
q560,137.0
q561,58.0
q562,86.0
q566,222.0
q571,30.0
q572,132.0
q573,140.0
q574,140.0
q575,140.0
q576,140.0
q577,12.0
q578,34.0
q579,142.0
q580,142.0
q581,142.0
q582,12.0
q583,86.0
q584,145.0
q585,12.0
q586,195.0
q587,86.0
q588,198.0
q592,81.0
q593,202.0
q594,81.0
