,constructs
q2,12.0
q3,12.0
q5,12.0
q6,12.0
q10,12.0
q11,12.0
q12,12.0
q14,12.0
q21,12.0
q22,12.0
q23,12.0
q25,12.0
q26,12.0
q27,12.0
q33,12.0
q35,12.0
q37,12.0
q38,12.0
q39,12.0
q41,12.0
q43,12.0
q44,12.0
q45,12.0
q48,12.0
q49,12.0
q50,12.0
q52,12.0
q53,12.0
q54,12.0
q57,12.0
q59,12.0
q62,12.0
q65,12.0
q67,12.0
q71,12.0
q73,12.0
q77,12.0
q78,12.0
q81,12.0
q91,12.0
q93,12.0
q99,12.0
q100,12.0
q102,12.0
q104,12.0
q105,12.0
q109,12.0
q110,12.0
q111,12.0
q112,12.0
q116,12.0
q117,12.0
q122,12.0
q126,12.0
q131,12.0
q132,12.0
q134,12.0
q136,12.0
q137,12.0
q138,12.0
q141,12.0
q142,12.0
q143,12.0
q146,12.0
q148,12.0
q149,12.0
q150,12.0
q151,12.0
q152,12.0
q155,12.0
q156,12.0
q157,12.0
q159,12.0
q161,12.0
q162,12.0
q167,12.0
q172,12.0
q174,12.0
q178,12.0
q179,12.0
q180,12.0
q182,12.0
q187,12.0
q188,12.0
q190,12.0
q192,12.0
q195,12.0
q197,12.0
q199,12.0
q203,12.0
q205,12.0
q206,12.0
q208,12.0
q209,12.0
q211,12.0
q213,12.0
q214,12.0
q216,12.0
q217,12.0
q218,12.0
q220,12.0
q223,12.0
q224,12.0
q225,12.0
q227,12.0
q228,12.0
q229,12.0
q232,12.0
q234,12.0
q235,12.0
q237,12.0
q238,12.0
q239,12.0
q243,12.0
q246,12.0
q247,12.0
q251,12.0
q253,12.0
q256,12.0
q261,12.0
q263,12.0
q268,12.0
q272,12.0
q273,12.0
q274,12.0
q275,12.0
q276,12.0
q277,12.0
q278,12.0
q281,12.0
q282,12.0
q283,12.0
q284,12.0
q286,12.0
q289,12.0
q290,12.0
q291,12.0
q292,12.0
q294,12.0
q296,12.0
q299,12.0
q300,12.0
q305,12.0
q306,12.0
q307,12.0
q308,12.0
q309,12.0
q310,12.0
q313,12.0
q314,12.0
q316,12.0
q317,12.0
q318,12.0
q320,12.0
q321,12.0
q322,12.0
q323,12.0
q325,12.0
q326,12.0
q329,12.0
q330,12.0
q331,12.0
q332,12.0
q333,12.0
q335,12.0
q336,12.0
q337,12.0
q338,12.0
q339,12.0
q340,12.0
q341,12.0
q342,12.0
q344,12.0
q346,12.0
q347,12.0
q348,12.0
q350,12.0
q351,12.0
q352,12.0
q356,12.0
q358,12.0
q359,12.0
q360,12.0
q362,12.0
q363,12.0
q364,12.0
q365,12.0
q366,12.0
q367,12.0
q369,12.0
q370,12.0
q371,12.0
q375,12.0
q376,12.0
q377,12.0
q379,12.0
q380,12.0
q390,12.0
q392,12.0
q393,12.0
q396,12.0
q398,12.0
q402,12.0
q403,12.0
q408,12.0
q410,12.0
q411,12.0
q412,12.0
q414,12.0
q416,12.0
q417,12.0
q419,12.0
q420,12.0
q422,12.0
q426,12.0
q428,12.0
q429,12.0
q433,12.0
q434,12.0
q436,12.0
q439,12.0
q440,12.0
q441,12.0
q444,12.0
q445,12.0
q449,12.0
q451,12.0
q455,12.0
q456,12.0
q457,12.0
q458,12.0
q460,12.0
q462,12.0
q464,12.0
q467,12.0
q468,12.0
q471,12.0
q473,12.0
q475,12.0
q476,12.0
q477,12.0
q478,12.0
q480,12.0
q481,12.0
q482,12.0
q483,12.0
q484,12.0
q486,12.0
q489,12.0
q490,12.0
q495,12.0
q498,12.0
q503,12.0
q504,12.0
q507,12.0
q513,12.0
q515,12.0
q516,12.0
q518,12.0
q520,12.0
q521,12.0
q527,12.0
q528,12.0
q529,12.0
q532,12.0
q535,12.0
q538,12.0
q546,12.0
q547,12.0
q548,12.0
q550,12.0
q554,12.0
q555,12.0
q556,12.0
q558,12.0
q559,12.0
q560,12.0
q561,12.0
q562,12.0
q566,12.0
q571,12.0
q572,12.0
q573,12.0
q574,12.0
q575,12.0
q576,12.0
q577,12.0
q578,12.0
q579,12.0
q580,12.0
q581,12.0
q582,12.0
q583,12.0
q584,12.0
q585,12.0
q586,12.0
q587,12.0
q588,12.0
q592,12.0
q593,12.0
q594,12.0
q595,12.0
q597,12.0
q598,12.0
q600,12.0
q604,12.0
q606,12.0
q607,12.0
q608,12.0
q613,12.0
q614,12.0
q616,12.0
q618,12.0
q619,12.0
q620,12.0
q621,12.0
q622,12.0
q623,12.0
q624,12.0
q625,12.0
q626,12.0
q627,12.0
q628,12.0
q629,12.0
q631,12.0
q632,12.0
q633,12.0
q634,12.0
q635,12.0
q636,12.0
q637,12.0
q638,12.0
q639,12.0
q640,12.0
q641,12.0
q642,12.0
q643,12.0
q644,12.0
q645,12.0
q646,12.0
q647,12.0
q648,12.0
q649,12.0
q650,12.0
q651,12.0
q652,12.0
q658,12.0
q660,12.0
q662,12.0
q663,12.0
q667,12.0
q668,12.0
q669,12.0
q670,12.0
q671,12.0
q673,12.0
q674,12.0
q676,12.0
q678,12.0
q679,12.0
q681,12.0
q683,12.0
q685,12.0
q687,12.0
q689,12.0
q690,12.0
q692,12.0
q696,12.0
q697,12.0
q698,12.0
q699,12.0
q700,12.0
q701,12.0
q702,12.0
q707,12.0
q711,12.0
q713,12.0
q715,12.0
q716,12.0
q717,12.0
q722,12.0
q724,12.0
q725,12.0
q726,12.0
q734,12.0
q738,12.0
q739,12.0
