,constructs
q2,1.0
q3,6.0
q5,1.0
q6,137.0
q10,86.0
q11,6.0
q12,86.0
q14,138.0
q21,86.0
q22,10.0
q23,12.0
q25,12.0
q26,12.0
q27,12.0
q33,12.0
q35,149.0
q37,153.0
q38,153.0
q39,12.0
q41,12.0
q43,12.0
q44,152.0
q45,15.0
q48,207.0
q49,110.0
q50,15.0
q52,207.0
q53,207.0
q54,207.0
q57,21.0
q59,92.0
q62,92.0
q65,149.0
q67,34.0
q71,92.0
q73,15.0
q77,86.0
q78,92.0
q81,12.0
q91,46.0
q93,28.0
q99,34.0
q100,28.0
q102,12.0
q104,92.0
q105,92.0
q109,12.0
q110,198.0
q111,79.0
q112,19.0
q116,207.0
q117,12.0
q122,207.0
q126,92.0
q131,92.0
q132,149.0
q134,51.0
q136,207.0
q137,19.0
q138,90.0
q141,51.0
q142,51.0
q143,12.0
q146,5.0
q148,191.0
q149,6.0
q150,19.0
q151,134.0
q152,92.0
q155,92.0
q156,92.0
q157,92.0
q159,12.0
q161,79.0
q162,12.0
q167,12.0
q172,19.0
q174,10.0
q178,137.0
q179,86.0
q180,79.0
q182,86.0
q187,92.0
q188,92.0
q190,12.0
q192,19.0
q195,86.0
q197,129.0
q199,86.0
q203,34.0
q205,1.0
q206,75.0
q208,19.0
q209,19.0
q211,19.0
q213,19.0
q214,75.0
q216,19.0
q217,75.0
q218,75.0
q220,75.0
q223,19.0
q224,19.0
q225,75.0
q227,50.0
q228,48.0
q229,15.0
q232,50.0
q234,1.0
q235,137.0
q237,6.0
q238,86.0
q239,79.0
q243,34.0
q246,12.0
q247,92.0
q251,137.0
q253,86.0
q256,51.0
q261,51.0
q263,86.0
q268,52.0
q272,1.0
q273,1.0
q274,79.0
q275,5.0
q276,150.0
q277,58.0
q278,207.0
q281,79.0
q282,86.0
q283,129.0
q284,207.0
q286,51.0
q289,86.0
q290,12.0
q291,92.0
q292,86.0
q294,92.0
q296,237.0
q299,172.0
q300,92.0
q305,86.0
q306,90.0
q307,129.0
q308,129.0
q309,207.0
q310,173.0
q313,137.0
q314,92.0
q316,34.0
q317,92.0
q318,92.0
q320,86.0
q321,93.0
q322,59.0
q323,207.0
q325,92.0
q326,207.0
q329,19.0
q330,19.0
q331,129.0
q332,207.0
q333,86.0
q335,12.0
q336,19.0
q337,19.0
q338,75.0
q339,19.0
q340,19.0
q341,75.0
q342,19.0
q344,75.0
q346,75.0
q347,75.0
q348,15.0
q350,207.0
q351,51.0
q352,92.0
q356,153.0
q358,86.0
q359,15.0
q360,86.0
q362,207.0
q363,86.0
q364,19.0
q365,12.0
q366,12.0
q367,12.0
q369,207.0
q370,150.0
q371,15.0
q375,12.0
q376,5.0
q377,5.0
q379,6.0
q380,86.0
q390,19.0
q392,15.0
q393,19.0
q396,12.0
q398,6.0
q402,207.0
q403,207.0
q408,21.0
q410,207.0
q411,19.0
q412,46.0
q414,12.0
q416,12.0
q417,6.0
q419,19.0
q420,207.0
q422,49.0
q426,122.0
q428,129.0
q429,63.0
q433,49.0
q434,92.0
q436,19.0
q439,79.0
q440,86.0
q441,1.0
q444,185.0
q445,81.0
q449,93.0
q451,86.0
q455,46.0
q456,207.0
q457,86.0
q458,129.0
q460,86.0
q462,153.0
q464,207.0
q467,137.0
q468,137.0
q471,46.0
q473,207.0
q475,86.0
q476,5.0
q477,19.0
q478,86.0
q480,12.0
q481,15.0
q482,86.0
q483,93.0
q484,207.0
q486,207.0
q489,207.0
q490,207.0
q495,12.0
q498,153.0
q503,19.0
q504,19.0
q507,198.0
q513,1.0
q515,19.0
q516,137.0
q518,86.0
q520,207.0
q521,12.0
q527,58.0
q528,86.0
q529,93.0
q532,129.0
q535,86.0
q538,34.0
q546,46.0
q547,86.0
q548,237.0
q550,1.0
q554,122.0
q555,15.0
q556,12.0
q558,93.0
q559,93.0
q560,137.0
q561,93.0
q562,86.0
q566,21.0
q571,140.0
q572,140.0
q573,140.0
q574,140.0
q575,207.0
q576,129.0
q577,12.0
q578,34.0
q579,142.0
q580,142.0
q581,86.0
q582,12.0
q583,142.0
q584,145.0
q585,12.0
q586,195.0
q587,28.0
q588,46.0
q592,153.0
q593,79.0
q594,81.0
q595,46.0
q597,10.0
q598,26.0
q600,152.0
q604,8.0
q606,10.0
q607,34.0
q608,153.0
q613,46.0
q614,22.0
q616,240.0
q618,149.0
q619,28.0
q620,150.0
q621,137.0
q622,137.0
q623,28.0
q624,152.0
q625,242.0
q626,150.0
q627,151.0
q628,150.0
q629,28.0
q631,137.0
q632,150.0
q633,86.0
q634,145.0
q635,12.0
q636,150.0
q637,172.0
q638,28.0
q639,153.0
q640,150.0
q641,137.0
q642,86.0
q643,150.0
q644,152.0
q645,12.0
q646,12.0
q647,12.0
q648,86.0
q649,153.0
q650,153.0
q651,34.0
q652,207.0
q658,207.0
q660,145.0
q662,207.0
q663,46.0
q667,12.0
q668,150.0
q669,86.0
q670,129.0
q671,137.0
q673,34.0
q674,86.0
q676,34.0
q678,34.0
q679,64.0
q681,160.0
q683,34.0
q685,34.0
q687,34.0
q689,93.0
q690,34.0
q692,129.0
q696,30.0
q697,137.0
q698,34.0
q699,34.0
q700,137.0
q701,1.0
q702,207.0
q707,12.0
q711,34.0
q713,34.0
q715,207.0
q716,160.0
q717,160.0
q722,86.0
q724,207.0
q725,92.0
q726,207.0
q734,1.0
q738,86.0
q739,46.0
q749,21.0
q752,92.0
q757,207.0
q758,86.0
q759,12.0
