,Correlation,p-value,L1 Loss
1ab0044ee957ed64a3abf0b233e3bd04,0.409,0.0,1.04
1a629f7202bb2aa69125e432b1ccaf36,0.636,0.0,0.9
954b262c81aac96242f433765d4a67a9,0.577,0.0,0.95
1442364a30e7ec66fb01c767d6e478c8,0.424,0.0,0.8
1f5c37ebe54ebf1d671c82bebc77d8e9,0.134,0.185,0.8
f9b7206d211aa92469f84494f82e32dd,0.314,0.001,1.21
dd6610e4da07937e7895c8c07b3b5edc,0.476,0.0,0.79
a39f18e4d1fa92d17cf3e35ef79d6163,0.115,0.256,0.9
0079d25f6a321eb47bf0f7626b396e0e,0.662,0.0,0.76
e9dd6322d8c6187a28e148cf511cb9bd,0.242,0.015,1.01
f30851ffd3678a436e2de0250dc0e87c,0.45,0.0,0.71
04f40666c6efdce4fd0db832f1d820d0,0.436,0.0,0.74
180a0ff391ee6b2c65a5b42f21fdca1a,0.042,0.676,0.84
8e664d1a169542b893e6fda17314f4bf,0.423,0.0,0.99
7e20b4ae9007b26ca45055456041cca7,0.399,0.0,0.84
dce6b790a9e64022fe20be2ec330ec81,0.75,0.0,0.81
76674ac2aef85008794bb2aa1513f545,0.326,0.001,0.78
482d75b39e1cb9405f709c1b7cf2c4db,0.411,0.0,1.09
dee1d77551de187707d2446b088f0012,0.154,0.127,1.06
76e5263c22bf7dca037324b1fad51a21,0.413,0.0,0.58
dd7e39cc5b892430376bd4a82f84f24c,-0.142,0.157,1.37
db099072f563c4bac9cf6d08483e4002,0.486,0.0,0.76
1d0ab379823669077333b0509e60aad4,0.335,0.001,0.98
849009add82e4c318c213a6bc45eff80,0.111,0.269,1.16
77de33bdfa34d62c5d64c7e5e8baebe8,0.587,0.0,0.9
82e932005d8c94bb93bcb54fa19f421c,0.391,0.0,1.13
f49f726908cb10be451728408599e694,0.423,0.0,1.02
c70b15854118907c8f0a234e2ba44bbc,0.535,0.0,0.98
e571dcc7fa1a6f1ebb1aba8d05d39b5c,0.576,0.0,0.91
3694cc5c137f5c14d52c4cb20d7b4e2c,0.54,0.0,0.89
75ac0524645b5df5f4ecaec61595081a,0.375,0.0,1.06
673251e3eacb7d7bbcedd7c37e43f67e,0.507,0.0,0.73
3742a133f27ca876b7f16f0ef2426f2a,0.484,0.0,0.82
dec8d6886e43af026f115492e5be7c08,0.292,0.003,1.17
7deda31791ecd385efe93610d407ede1,0.244,0.014,1.14
274cc741315443224a385f036c3341c1,0.639,0.0,0.79
558b9b9f154b7fccf6a3c5a86579ff1a,0.623,0.0,0.97
b92932f4976a7924c104296e4bac3730,0.439,0.0,0.87
974f8ed3a33accb7fef0494a5ba8e04d,0.32,0.001,0.8
182de694c9436baf77720fe405faadbe,0.506,0.0,1.08
cfa44fab0118f425c9d73ca5d9b67b65,0.444,0.0,0.53
cca5be9ddc2d5ca1799c2be7d1d3dcb7,0.677,0.0,0.73
85a1b0864fc2f13bfa1d470e047817bc,0.724,0.0,0.66
aabd406d714c65c06e24f490d033f259,0.453,0.0,1.16
50d900f2e8253d30ac1acbce5493e6ba,0.727,0.0,0.8
28e188e3e56f9b8331f3797be46d7502,0.29,0.003,0.73
66583efb59b64612325c1da8bf762943,0.274,0.006,1.09
90d011bef28b39294c51d774c69d266f,0.483,0.0,0.74
1d893ade70182c9a167c39519491d80e,0.662,0.0,0.87
0d2674087bd456e5ca6d9f3c655c7763,0.457,0.0,0.83
d3563f2f7c1a084a463b5bed4d45792e,0.365,0.0,0.86
650e68673d1fa9de9564435af0037d56,0.478,0.0,1.08
c2aea811e54ec915f75cd0f47d3396f1,0.385,0.0,1.17
71cd43d94039a40e608aa8bf7ee9c58b,0.533,0.0,1.04
3b60443fc04ed0f4c339b2803175a4ad,0.381,0.0,0.89
0c812eb3555edc58d3cedc0f28967de7,0.437,0.0,0.87
9f85cd9b1e3ecb5986558f2172e465dc,0.279,0.005,0.87
e28d87afc9d88ed2fa9a1124c7c3cf2c,0.563,0.0,0.78
82a0c238f9a2d2af2d00c4249c511eb9,0.191,0.057,1.35
4b0caa88ddece19eeb4c7725e9075065,0.474,0.0,1.22
1a144691c3c882fe93ce18553480c7e8,0.615,0.0,1.02
b94678b923019f626474c9752af48183,0.513,0.0,0.96
e4a9de8d77c21c3f704fdb0055cdde43,0.355,0.0,0.8
06561ae15e32040e69af859056862610,0.423,0.0,0.8
6cf37baada657a2c3d9bdf080665d9ca,0.686,0.0,0.87
19abd249d91c3073fce939aaa39930de,0.316,0.001,0.8
a4750830e92909b88e16804a85c207f3,0.726,0.0,0.82
72aaeeadc1da762ab3143c5f1cf56ef8,0.606,0.0,0.8
9a7559fb86e4182ab16c4173f8fe8093,0.402,0.0,0.8
35221dbc4645bbb1d9dc66783e1135b1,0.494,0.0,0.99
b4c8addff51864c07dc9ec5a657c5ab9,0.666,0.0,0.75
8f1e3fd7328f7af18bfc20b140bfc3e5,0.631,0.0,0.74
ce526fabf9006f1bded1c6bfb8cb7101,0.233,0.02,0.83
0ff76f5ec0fa0fa2a96ed824e1a2ec07,0.719,0.0,0.95
99012dc85894fd1e1643883e569f276b,0.626,0.0,0.85
58a085911a74b6878c17e7a61309294f,0.479,0.0,1.01
f93dfa1d75e1deaf5f4b5db0287787a0,0.468,0.0,0.68
386ac98d245c753e7415bc071ed0d5b5,0.431,0.0,1.15
713928158d7913e8233bc6b98ea0baa9,0.466,0.0,0.97
f15c01fc3031083d7e3c552890e6aaf0,0.44,0.0,0.7
b469c7bffa2d27cf19e23688a2e6dba5,0.619,0.0,0.65
513be1d6d703e54e5ac697b023607d3c,0.341,0.001,0.84
98d025316813076ad3cb831fff214d52,0.457,0.0,0.67
